add_id;city;state
11;Chennai;Uttarakhand
12;Mumbai;Odisha
19;Delhi;Manipur
26;Chennai;Mizoram
29;Kolkata;Gujarat
32;Chennai;Gujarat
43;Chennai;Odisha
44;Bangalore;Gujarat
46;Hyderabad;Himachal Pradesh
64;Kolkata;West Bengal
69;Mumbai;Kerala
75;Kolkata;Manipur
86;Hyderabad;Assam
88;Kolkata;Himachal Pradesh
100;Hyderabad;Manipur
108;Delhi;Punjab
111;Bangalore;Maharashtra
126;Kolkata;Mizoram
129;Mumbai;Andhra Pradesh
135;Kolkata;Manipur
139;Delhi;Karnataka
142;Kolkata;Jharkhand
143;Bangalore;Kerala
145;Chennai;Manipur
154;Chennai;Haryana
158;Hyderabad;Bihar
160;Mumbai;Punjab
161;Bangalore;Haryana
162;Mumbai;Goa
169;Chennai;Sikkim
178;Mumbai;Nagaland
179;Mumbai;Meghalaya
180;Mumbai;Chhattisgarh
182;Bangalore;West Bengal
193;Kolkata;Andhra Pradesh
194;Chennai;Uttar Pradesh
197;Chennai;Karnataka
203;Bangalore;Goa
210;Hyderabad;Uttar Pradesh
212;Bangalore;Punjab
216;Mumbai;Tamil Nadu
219;Chennai;Tripura
227;Hyderabad;Haryana
229;Hyderabad;Gujarat
238;Kolkata;Tamil Nadu
240;Mumbai;Uttar Pradesh
247;Kolkata;Maharashtra
249;Mumbai;Rajasthan
250;Delhi;Nagaland
253;Hyderabad;Assam
254;Bangalore;Maharashtra
259;Mumbai;Chhattisgarh
260;Bangalore;Kerala
264;Mumbai;Punjab
266;Delhi;Bihar
273;Bangalore;Chhattisgarh
275;Hyderabad;Mizoram
276;Bangalore;Bihar
280;Chennai;Andhra Pradesh
281;Kolkata;Gujarat
284;Mumbai;Nagaland
295;Bangalore;Haryana
297;Kolkata;Tripura
308;Kolkata;Sikkim
318;Kolkata;Himachal Pradesh
319;Kolkata;Madhya Pradesh
324;Mumbai;West Bengal
327;Chennai;Tamil Nadu
330;Mumbai;Gujarat
334;Kolkata;Assam
335;Kolkata;West Bengal
340;Hyderabad;Tamil Nadu
343;Delhi;Himachal Pradesh
346;Hyderabad;Gujarat
348;Bangalore;West Bengal
349;Mumbai;Jharkhand
353;Hyderabad;Gujarat
354;Chennai;Telangana
359;Hyderabad;Madhya Pradesh
361;Hyderabad;Odisha
366;Chennai;Meghalaya
367;Hyderabad;Gujarat
368;Delhi;Tamil Nadu
371;Mumbai;Uttarakhand
374;Mumbai;Jharkhand
377;Mumbai;Andhra Pradesh
383;Chennai;Telangana
384;Hyderabad;Kerala
386;Hyderabad;Rajasthan
389;Chennai;Madhya Pradesh
391;Delhi;Haryana
396;Chennai;Nagaland
400;Hyderabad;Nagaland
402;Bangalore;Sikkim
403;Delhi;Haryana
411;Delhi;Bihar
412;Chennai;Manipur
415;Bangalore;Rajasthan
424;Mumbai;Andhra Pradesh
431;Bangalore;Madhya Pradesh
432;Delhi;Telangana
434;Mumbai;Uttar Pradesh
436;Bangalore;Maharashtra
444;Kolkata;West Bengal
447;Chennai;Meghalaya
455;Chennai;Tamil Nadu
460;Hyderabad;Haryana
463;Hyderabad;Kerala
471;Kolkata;Sikkim
475;Kolkata;Uttar Pradesh
476;Chennai;Tripura
478;Hyderabad;Tamil Nadu
481;Hyderabad;Haryana
483;Hyderabad;Bihar
489;Hyderabad;Meghalaya
490;Hyderabad;Andhra Pradesh
491;Chennai;Gujarat
492;Kolkata;Haryana
494;Delhi;Nagaland
495;Delhi;Uttarakhand
498;Delhi;Jharkhand
500;Delhi;Sikkim
502;Bangalore;Jharkhand
506;Hyderabad;Assam
515;Hyderabad;Madhya Pradesh
516;Bangalore;Assam
518;Hyderabad;Rajasthan
