cap_id;num_dependents;estimated_salary
11;0;133288
12;4;135129
19;1;138037
26;0;94683
29;2;103868
32;4;61329
43;2;126147
44;3;71532
46;2;132122
64;1;88703
69;2;121809
75;4;98314
86;4;72035
88;0;122987
100;2;144251
108;1;93546
111;4;107123
126;3;33619
129;0;132796
135;4;88523
139;4;43605
142;4;106064
143;2;102742
145;2;121818
154;0;69382
158;4;126629
160;4;31235
161;2;113024
162;1;36886
169;0;93934
178;0;130932
179;1;61756
180;2;44681
182;2;110008
193;1;89133
194;1;120001
197;2;122350
203;3;128299
210;1;84307
212;3;70935
216;1;41115
219;2;61692
227;1;86004
229;0;149438
238;1;28168
240;3;38322
247;3;67608
249;4;103388
250;2;78218
253;0;139202
254;0;146742
259;0;73602
260;0;119465
264;0;142177
266;0;39224
273;2;104425
275;4;149325
276;3;129980
280;0;47621
281;4;84239
284;4;118360
295;2;124007
297;1;122360
308;4;116297
318;1;65486
319;0;133702
324;0;77800
327;2;84544
330;4;83967
334;1;110758
335;3;81795
340;1;62846
343;0;117355
346;4;102092
348;3;76335
349;1;50984
353;3;37512
354;4;29752
359;0;112603
361;3;107068
366;0;102173
367;2;57910
368;2;100210
371;0;40940
374;4;35809
377;4;104056
383;1;62086
384;4;23184
386;0;104420
389;4;129422
391;3;116351
396;0;62316
400;0;29790
402;1;30124
403;3;57211
411;1;36370
412;2;64552
415;3;81137
424;3;32362
431;3;44046
432;1;49917
434;1;123671
436;3;81083
444;4;114732
447;4;20797
455;2;48105
460;0;48487
463;2;51401
471;2;53404
475;0;66714
476;2;149571
478;1;25306
481;1;52519
483;0;107783
489;4;49211
490;3;127871
491;0;75699
492;4;90106
494;2;116562
495;1;63658
498;4;24674
500;0;147858
502;1;84699
506;3;66892
515;1;66301
516;1;39751
518;0;135719
520;1;100231
521;1;144521
522;0;58917
529;3;120546
530;4;91738
534;3;49445
540;2;59908
543;3;49828
549;1;79200
558;4;97714
559;3;52872
563;4;27403
569;3;103302
570;4;62961
576;3;71467
577;3;26780
583;1;52581
586;1;28285
587;4;102604
592;1;60152
595;0;43333
597;4;75823
603;4;143361
612;4;44523
613;1;68207
617;3;143446
619;4;127065
628;1;94833
630;2;36384
631;2;141161
637;1;89736
639;1;79122
642;2;89466
645;0;82424
655;0;121242
659;1;108934
660;4;36279
667;0;45328
671;1;93101
674;4;137047
679;2;27294
680;0;100778
705;0;102507
711;0;64800
714;0;114008
719;0;87017
722;2;128716
726;1;26660
734;1;103554
737;4;91593
743;3;116296
751;1;56724
755;0;99366
756;4;111096
759;2;62810
762;0;100746
763;0;71325
764;1;55138
765;3;50193
766;4;47959
773;4;35244
781;2;105314
782;4;139343
784;0;73268
787;1;132617
792;3;132502
797;0;101994
798;1;129608
801;3;90770
809;2;109661
810;4;98648
811;1;80528
813;4;99344
814;2;89950
820;2;63614
845;4;120376
849;2;21482
857;2;119575
859;4;22987
866;4;109760
870;3;66874
872;2;142333
879;2;61196
887;1;142310
889;4;22930
891;3;136249
892;3;28968
901;0;95919
905;3;67163
915;3;132757
918;0;142086
922;3;93348
927;0;34487
932;4;148370
938;1;112079
939;3;64599
940;2;120298
941;1;61042
942;0;90391
944;3;44176
946;3;116319
947;1;34991
956;4;47471
961;0;99094
968;0;140672
977;0;35351
978;0;127590
987;3;98598
990;2;116561
992;2;61319
995;1;48101
997;4;127367
1001;0;143847
1007;3;104354
1011;0;118491
1018;3;75511
1022;2;62563
1024;1;141427
1026;2;78986
1029;1;56312
1032;4;129811
1033;0;143339
1034;0;137115
1037;2;49420
1044;1;86026
1045;2;59118
1050;4;80759
1051;4;111852
1054;0;85509
1064;1;78267
1066;3;68468
1070;0;133738
1077;1;122893
1083;2;111574
1087;1;27410
1092;3;116980
1096;1;71344
1098;1;143019
1100;0;75483
1101;2;37519
1108;0;33416
1124;3;27222
1125;0;40966
1126;4;92998
1131;4;23026
1144;2;29864
1145;0;73986
1149;0;111068
1151;1;21188
1153;1;67256
1162;2;76162
1164;1;144721
1168;3;137832
1174;1;73131
1180;0;93567
1185;3;101519
1186;2;114662
1189;3;94141
1191;0;114362
1193;3;44808
1201;3;127659
1205;0;32883
1207;1;82176
1208;0;70668
1209;0;131487
1212;4;35307
1216;4;124146
1218;3;46911
1219;3;78518
1220;3;37512
1221;3;67743
1223;1;51352
1235;1;85620
1245;0;85278
1246;4;77867
1247;3;129470
1249;3;43163
1257;4;82784
1267;3;78593
1268;0;26831
1269;2;71077
1273;2;78976
1276;2;117161
1282;3;141520
1285;3;59318
1288;4;135645
1291;2;81268
1293;3;61738
1300;0;127573
1302;1;88764
1308;2;140174
1315;3;87542
1321;0;149015
1324;3;86027
1325;2;128684
1330;1;55468
1331;2;143764
1334;0;30878
1337;0;144327
1342;4;139146
1343;1;38449
1347;2;23797
1355;0;133983
1356;2;96862
1363;4;119913
1366;3;90356
1369;1;127106
1371;3;132556
1376;0;145298
1377;3;67580
1378;1;148243
1381;1;137412
1383;0;146522
1384;1;56501
1392;4;22161
1393;1;116788
1394;3;118307
1395;3;41101
1396;1;36662
1400;0;76963
1401;4;21073
1408;3;23971
1409;1;42267
1420;4;61670
1423;2;134899
1427;1;44661
1442;1;138349
1449;4;117665
1450;4;138998
1451;2;116321
1464;4;66010
1467;0;98391
1471;0;114485
1482;2;63810
1484;2;75415
1493;2;81124
1494;1;108030
1497;4;96842
1499;4;61176
1501;1;40310
1502;3;77381
1503;4;41935
1510;1;144804
1514;2;88591
1517;4;33550
1521;2;58619
1527;4;98794
1528;0;47460
1534;3;95757
1535;2;25499
1549;0;94110
1552;0;66369
1557;0;28070
1560;3;135516
1561;1;34550
1564;0;53410
1566;0;109368
1568;0;27749
1571;1;139388
1576;0;111408
1579;1;23525
1581;0;88326
1583;3;66793
1588;0;104807
1597;2;101489
