customer_id;gender;age_brackets
11;Male;Middle Age
12;Male;Old
19;Female;Middle Age
26;Female;Middle Age
29;Male;Old
32;Male;Old
43;Male;Middle Age
44;Female;Middle Age
46;Female;Old
64;Male;Middle Age
69;Male;Middle Age
75;Male;Old
86;Female;Middle Age
88;Female;Middle Age
100;Male;Old
108;Female;Middle Age
111;Female;Middle Age
126;Male;Middle Age
129;Male;Adolescent
135;Female;Old
139;Female;Old
142;Male;Old
143;Male;Old
145;Female;Middle Age
154;Male;Adolescent
158;Female;Middle Age
160;Male;Old
161;Male;Middle Age
162;Female;Adolescent
169;Male;Old
178;Male;Middle Age
179;Male;Adolescent
180;Male;Middle Age
182;Male;Middle Age
193;Male;Adolescent
194;Male;Middle Age
197;Female;Old
203;Male;Middle Age
210;Female;Middle Age
212;Female;Middle Age
216;Male;Old
219;Female;Middle Age
227;Male;Adolescent
229;Male;Middle Age
238;Female;Middle Age
240;Male;Middle Age
247;Female;Middle Age
249;Female;Adolescent
250;Male;Old
253;Male;Old
254;Male;Middle Age
259;Male;Middle Age
260;Female;Middle Age
264;Male;Middle Age
266;Male;Adolescent
273;Female;Old
275;Female;Old
276;Male;Middle Age
280;Female;Old
281;Female;Old
284;Male;Old
295;Female;Old
297;Female;Adolescent
308;Female;Middle Age
318;Male;Middle Age
319;Male;Middle Age
324;Male;Adolescent
327;Male;Old
330;Female;Middle Age
334;Male;Middle Age
335;Female;Old
340;Male;Old
343;Male;Old
346;Male;Middle Age
348;Female;Old
349;Male;Middle Age
353;Male;Middle Age
354;Female;Old
359;Male;Middle Age
361;Female;Adolescent
366;Male;Adolescent
367;Male;Old
368;Female;Old
371;Female;Old
374;Female;Middle Age
377;Female;Old
383;Male;Old
384;Male;Adolescent
386;Female;Middle Age
389;Male;Old
391;Female;Old
396;Male;Adolescent
400;Male;Old
402;Male;Middle Age
403;Female;Middle Age
411;Female;Middle Age
412;Female;Adolescent
415;Male;Old
424;Female;Old
431;Male;Old
432;Male;Adolescent
434;Male;Old
436;Male;Old
444;Male;Old
447;Male;Old
455;Male;Old
460;Male;Old
463;Male;Old
471;Female;Middle Age
475;Male;Middle Age
476;Female;Old
478;Male;Middle Age
481;Male;Adolescent
483;Male;Old
489;Female;Old
490;Male;Adolescent
491;Female;Old
492;Female;Old
494;Female;Old
495;Female;Middle Age
498;Male;Adolescent
500;Female;Middle Age
502;Male;Adolescent
506;Male;Old
515;Male;Old
516;Male;Old
518;Male;Old
520;Male;Old
521;Male;Old
522;Male;Middle Age
529;Male;Adolescent
530;Female;Middle Age
534;Male;Old
540;Male;Adolescent
543;Male;Middle Age
549;Female;Middle Age
558;Male;Middle Age
559;Female;Middle Age
563;Male;Middle Age
569;Female;Middle Age
570;Male;Middle Age
576;Male;Middle Age
577;Male;Old
583;Female;Old
586;Female;Middle Age
587;Female;Middle Age
592;Male;Old
595;Male;Old
597;Female;Adolescent
603;Male;Old
612;Female;Adolescent
613;Male;Middle Age
617;Male;Middle Age
619;Male;Adolescent
628;Female;Middle Age
630;Male;Middle Age
631;Female;Middle Age
637;Male;Adolescent
639;Female;Adolescent
642;Male;Adolescent
645;Male;Old
655;Male;Adolescent
659;Male;Middle Age
660;Male;Middle Age
667;Female;Old
671;Male;Old
674;Male;Adolescent
679;Male;Old
680;Male;Middle Age
705;Female;Middle Age
711;Male;Middle Age
714;Female;Middle Age
719;Male;Old
722;Male;Adolescent
726;Male;Old
734;Female;Middle Age
737;Male;Old
743;Female;Middle Age
751;Male;Old
755;Male;Middle Age
756;Male;Old
759;Male;Old
762;Male;Adolescent
763;Male;Adolescent
764;Male;Adolescent
765;Female;Middle Age
766;Female;Old
773;Female;Old
781;Female;Middle Age
782;Male;Adolescent
784;Male;Old
787;Female;Adolescent
792;Male;Middle Age
797;Female;Old
798;Male;Old
801;Female;Old
809;Female;Middle Age
810;Female;Adolescent
811;Male;Adolescent
813;Male;Middle Age
814;Male;Adolescent
820;Female;Old
845;Female;Middle Age
849;Male;Middle Age
857;Male;Old
859;Male;Adolescent
866;Female;Old
870;Female;Adolescent
872;Female;Old
879;Female;Middle Age
887;Male;Old
889;Male;Middle Age
891;Male;Old
892;Male;Old
901;Male;Middle Age
905;Male;Middle Age
915;Male;Middle Age
918;Female;Old
922;Male;Adolescent
927;Female;Old
932;Male;Old
938;Male;Middle Age
939;Male;Middle Age
940;Male;Middle Age
941;Male;Middle Age
942;Male;Old
944;Male;Adolescent
946;Male;Middle Age
947;Female;Old
956;Male;Adolescent
961;Male;Old
968;Male;Old
977;Male;Adolescent
978;Female;Adolescent
987;Female;Old
990;Male;Adolescent
992;Female;Old
995;Male;Adolescent
997;Male;Middle Age
1001;Female;Middle Age
1007;Male;Old
1011;Female;Middle Age
1018;Female;Old
1022;Female;Middle Age
1024;Female;Adolescent
1026;Female;Middle Age
1029;Male;Adolescent
1032;Male;Old
1033;Male;Middle Age
1034;Male;Adolescent
1037;Male;Middle Age
1044;Male;Middle Age
1045;Male;Middle Age
1050;Male;Old
1051;Female;Old
1054;Male;Middle Age
1064;Female;Old
1066;Female;Middle Age
1070;Female;Adolescent
1077;Female;Adolescent
1083;Male;Middle Age
1087;Female;Middle Age
1092;Male;Adolescent
1096;Male;Old
1098;Male;Old
1100;Male;Middle Age
1101;Male;Middle Age
1108;Male;Old
1124;Male;Old
1125;Male;Old
1126;Male;Old
1131;Male;Middle Age
1144;Male;Middle Age
1145;Female;Middle Age
1149;Male;Middle Age
1151;Male;Old
1153;Female;Middle Age
1162;Male;Adolescent
1164;Female;Old
1168;Male;Old
1174;Male;Old
1180;Female;Old
1185;Female;Middle Age
1186;Female;Middle Age
1189;Male;Adolescent
1191;Male;Middle Age
1193;Female;Middle Age
1201;Female;Adolescent
1205;Male;Middle Age
1207;Female;Adolescent
1208;Female;Middle Age
1209;Male;Middle Age
1212;Male;Middle Age
1216;Male;Middle Age
1218;Male;Adolescent
1219;Male;Middle Age
1220;Male;Old
1221;Male;Middle Age
1223;Male;Middle Age
1235;Male;Middle Age
1245;Female;Middle Age
1246;Male;Middle Age
1247;Male;Old
1249;Female;Old
1257;Male;Old
1267;Male;Adolescent
1268;Female;Middle Age
1269;Male;Old
1273;Male;Old
1276;Male;Old
1282;Male;Old
1285;Female;Middle Age
1288;Female;Middle Age
1291;Male;Middle Age
1293;Male;Adolescent
1300;Female;Old
1302;Male;Old
1308;Female;Adolescent
1315;Female;Adolescent
1321;Male;Old
1324;Male;Old
1325;Male;Adolescent
1330;Female;Old
1331;Male;Old
1334;Male;Adolescent
1337;Female;Old
1342;Male;Middle Age
1343;Male;Middle Age
1347;Male;Old
1355;Male;Adolescent
1356;Female;Old
1363;Male;Old
1366;Male;Adolescent
1369;Female;Old
1371;Female;Middle Age
1376;Female;Old
1377;Male;Middle Age
1378;Female;Middle Age
1381;Female;Old
1383;Male;Old
1384;Male;Old
1392;Male;Old
1393;Female;Old
1394;Male;Adolescent
1395;Female;Middle Age
1396;Male;Middle Age
1400;Female;Adolescent
1401;Female;Old
1408;Male;Old
1409;Male;Adolescent
1420;Male;Adolescent
1423;Female;Old
1427;Male;Old
1442;Male;Old
1449;Female;Middle Age
1450;Male;Middle Age
1451;Male;Adolescent
1464;Female;Old
1467;Male;Old
1471;Female;Old
1482;Female;Middle Age
1484;Male;Old
1493;Male;Middle Age
1494;Male;Middle Age
1497;Female;Middle Age
1499;Female;Middle Age
1501;Male;Old
1502;Male;Adolescent
1503;Female;Adolescent
1510;Male;Middle Age
1514;Male;Middle Age
1517;Male;Middle Age
1521;Male;Old
1527;Female;Adolescent
1528;Female;Old
1534;Female;Adolescent
1535;Male;Middle Age
1549;Female;Middle Age
1552;Male;Middle Age
1557;Male;Middle Age
1560;Female;Middle Age
1561;Male;Adolescent
1564;Male;Middle Age
1566;Female;Old
1568;Female;Old
1571;Female;Middle Age
1576;Female;Old
1579;Male;Old
1581;Male;Old
1583;Male;Middle Age
1588;Male;Old
1597;Female;Middle Age
1598;Male;Old
1599;Male;Adolescent
1601;Female;Middle Age
1607;Male;Old
1608;Female;Middle Age
1610;Male;Adolescent
1611;Male;Adolescent
1615;Male;Middle Age
1618;Female;Adolescent
1621;Male;Middle Age
1624;Male;Middle Age
1631;Male;Old
1634;Male;Old
1640;Female;Adolescent
1642;Female;Old
1648;Male;Old
1651;Male;Old
1656;Male;Old
1657;Male;Old
1663;Male;Old
1664;Male;Adolescent
1666;Female;Middle Age
1667;Male;Old
1673;Male;Old
1678;Female;Adolescent
1679;Male;Old
1681;Male;Old
1683;Female;Old
1693;Female;Old
1695;Female;Old
1699;Female;Middle Age
1706;Male;Middle Age
1708;Male;Old
1709;Male;Old
1710;Male;Old
1712;Male;Middle Age
1714;Female;Old
1720;Male;Middle Age
1725;Male;Old
1726;Male;Middle Age
1730;Female;Old
1735;Female;Adolescent
1737;Female;Middle Age
1742;Male;Old
1743;Male;Middle Age
1745;Male;Old
1751;Male;Middle Age
1753;Male;Middle Age
1754;Male;Old
1758;Male;Middle Age
1760;Female;Old
1761;Female;Adolescent
1762;Male;Old
1763;Male;Old
1770;Male;Old
1772;Male;Adolescent
1774;Female;Old
1777;Male;Old
1785;Male;Adolescent
1787;Female;Adolescent
1788;Male;Old
1795;Male;Middle Age
1797;Male;Old
1800;Male;Middle Age
1811;Female;Old
1812;Male;Middle Age
1813;Female;Middle Age
1816;Female;Adolescent
1821;Male;Old
1824;Male;Adolescent
1825;Female;Old
1834;Female;Adolescent
1835;Female;Old
1836;Male;Middle Age
1837;Male;Adolescent
1838;Female;Adolescent
1840;Female;Old
1841;Female;Middle Age
1844;Female;Middle Age
1846;Male;Old
1847;Male;Adolescent
1855;Female;Middle Age
1866;Male;Adolescent
1867;Male;Old
1868;Female;Old
1869;Male;Old
1870;Male;Old
1872;Male;Old
1879;Male;Adolescent
1882;Male;Middle Age
1885;Male;Adolescent
1900;Female;Old
1910;Male;Middle Age
1916;Male;Middle Age
1919;Female;Adolescent
1924;Male;Adolescent
1930;Male;Middle Age
1933;Male;Middle Age
1939;Male;Adolescent
1941;Female;Adolescent
1944;Female;Adolescent
1961;Female;Middle Age
1966;Male;Middle Age
1975;Female;Middle Age
1976;Female;Old
1984;Male;Old
1993;Male;Middle Age
1998;Female;Old
2001;Female;Old
2013;Male;Adolescent
2015;Male;Old
2016;Female;Old
2017;Male;Middle Age
2018;Female;Old
2023;Male;Old
2028;Female;Middle Age
2029;Male;Middle Age
2032;Female;Middle Age
2040;Female;Old
2046;Male;Middle Age
2061;Male;Old
2070;Female;Middle Age
2076;Female;Adolescent
2082;Male;Old
2083;Male;Middle Age
2094;Female;Middle Age
2095;Female;Old
2100;Male;Adolescent
2101;Female;Middle Age
2103;Female;Old
2106;Female;Middle Age
2111;Male;Old
2117;Female;Old
2127;Male;Old
2128;Male;Old
2134;Female;Middle Age
2136;Male;Old
2138;Female;Middle Age
2139;Male;Middle Age
2140;Female;Adolescent
2141;Female;Old
2145;Male;Middle Age
2147;Male;Middle Age
2150;Male;Adolescent
2159;Male;Adolescent
2160;Male;Old
2161;Female;Adolescent
2165;Female;Middle Age
2170;Female;Middle Age
2172;Male;Middle Age
2174;Male;Old
2175;Male;Old
2181;Female;Old
2184;Female;Middle Age
2187;Male;Old
2198;Male;Adolescent
2205;Male;Middle Age
2208;Male;Middle Age
2224;Male;Middle Age
2225;Male;Old
2229;Female;Middle Age
2231;Female;Adolescent
2233;Male;Old
2238;Male;Middle Age
2243;Female;Adolescent
2251;Female;Middle Age
2253;Male;Middle Age
2256;Male;Middle Age
2265;Male;Old
2268;Female;Middle Age
2275;Female;Middle Age
2278;Male;Old
2283;Female;Middle Age
2288;Male;Old
2290;Male;Adolescent
2291;Male;Old
2296;Female;Old
2298;Male;Old
2300;Male;Old
2309;Male;Old
2311;Male;Adolescent
2320;Male;Adolescent
2322;Female;Old
2325;Male;Old
2326;Male;Old
2328;Female;Middle Age
2329;Male;Middle Age
2332;Male;Old
2335;Male;Old
2338;Female;Middle Age
2349;Female;Old
2360;Male;Old
2361;Female;Adolescent
2366;Male;Old
2369;Male;Old
2372;Female;Middle Age
2380;Male;Old
2383;Male;Old
2384;Female;Middle Age
2387;Male;Old
2390;Male;Old
2397;Male;Adolescent
2401;Male;Adolescent
2403;Male;Old
2405;Male;Adolescent
2407;Male;Middle Age
2408;Male;Middle Age
2411;Male;Adolescent
2419;Male;Old
2427;Male;Old
2430;Female;Old
2431;Male;Middle Age
2438;Female;Old
2439;Female;Middle Age
2440;Male;Middle Age
2442;Male;Old
2443;Male;Old
2444;Female;Adolescent
2452;Female;Old
2455;Male;Middle Age
2458;Male;Old
2460;Male;Adolescent
2469;Female;Old
2480;Female;Adolescent
2482;Male;Middle Age
2484;Male;Middle Age
2486;Male;Adolescent
2503;Male;Old
2506;Male;Adolescent
2507;Male;Old
2510;Male;Old
2513;Male;Middle Age
2518;Female;Middle Age
2526;Male;Old
2527;Female;Middle Age
2530;Female;Old
2531;Male;Old
2534;Female;Middle Age
2537;Female;Old
2539;Male;Old
2541;Male;Middle Age
2542;Male;Old
2549;Male;Old
2555;Female;Adolescent
2558;Male;Adolescent
2567;Female;Old
2570;Male;Middle Age
2584;Male;Old
2587;Male;Middle Age
2589;Male;Old
2590;Male;Adolescent
2594;Female;Adolescent
2603;Male;Middle Age
2604;Female;Middle Age
2605;Female;Middle Age
2606;Male;Old
2607;Female;Middle Age
2608;Male;Middle Age
2620;Male;Old
2622;Female;Middle Age
2626;Male;Middle Age
2634;Male;Middle Age
2639;Female;Old
2640;Male;Adolescent
2644;Male;Middle Age
2645;Male;Old
2651;Male;Middle Age
2654;Female;Middle Age
2655;Female;Middle Age
2665;Female;Old
2670;Male;Middle Age
2673;Female;Middle Age
2681;Female;Middle Age
2684;Male;Old
2689;Female;Old
2691;Male;Middle Age
2692;Male;Middle Age
2702;Male;Middle Age
2704;Male;Middle Age
2707;Female;Old
2711;Male;Middle Age
2716;Male;Old
2723;Male;Middle Age
2724;Male;Middle Age
2726;Female;Old
2730;Female;Adolescent
2735;Male;Adolescent
2736;Female;Middle Age
2740;Female;Old
2742;Female;Old
2745;Female;Old
2748;Male;Old
2752;Male;Old
2755;Female;Old
2758;Male;Adolescent
2765;Female;Middle Age
2776;Male;Middle Age
2777;Male;Middle Age
2779;Male;Old
2780;Male;Middle Age
2782;Male;Old
2784;Male;Old
2785;Male;Old
2787;Male;Middle Age
2788;Female;Middle Age
2793;Male;Middle Age
2795;Male;Middle Age
2801;Male;Old
2803;Female;Old
2804;Male;Middle Age
2809;Male;Old
2814;Female;Old
2820;Male;Middle Age
2825;Female;Old
2828;Male;Old
2829;Male;Old
2832;Female;Middle Age
2833;Male;Old
2834;Female;Old
2835;Male;Adolescent
2845;Female;Old
2846;Male;Adolescent
2857;Female;Middle Age
2859;Male;Adolescent
2861;Male;Old
2873;Male;Old
2881;Male;Adolescent
2883;Female;Middle Age
2891;Female;Middle Age
2894;Female;Old
2899;Male;Middle Age
2900;Male;Middle Age
2908;Male;Old
2916;Male;Old
2923;Male;Adolescent
2925;Female;Old
2932;Male;Middle Age
2939;Male;Middle Age
2940;Female;Middle Age
2948;Female;Old
2949;Male;Adolescent
2950;Male;Old
2953;Female;Old
2957;Male;Middle Age
2959;Male;Adolescent
2961;Male;Adolescent
2962;Female;Old
2963;Female;Middle Age
2964;Female;Middle Age
2965;Male;Adolescent
2971;Female;Middle Age
2980;Male;Old
2998;Female;Middle Age
3010;Female;Middle Age
3015;Female;Middle Age
3016;Female;Old
3018;Male;Old
3025;Male;Old
3030;Male;Middle Age
3032;Male;Old
3042;Male;Middle Age
3045;Male;Middle Age
3057;Male;Middle Age
3058;Male;Middle Age
3061;Male;Middle Age
3063;Male;Old
3068;Female;Adolescent
3073;Female;Old
3078;Female;Old
3080;Male;Adolescent
3081;Male;Middle Age
3091;Male;Adolescent
3096;Male;Old
3103;Male;Old
3104;Male;Old
3105;Female;Middle Age
3107;Female;Old
3108;Male;Old
3112;Female;Old
3116;Female;Middle Age
3122;Male;Old
3130;Female;Old
3131;Male;Old
3140;Male;Middle Age
3155;Female;Middle Age
3159;Female;Middle Age
3168;Female;Old
3169;Female;Middle Age
3170;Female;Middle Age
3172;Male;Old
3175;Male;Middle Age
3176;Male;Middle Age
3180;Male;Adolescent
3195;Male;Middle Age
3200;Male;Middle Age
3203;Male;Adolescent
3207;Male;Old
3210;Male;Old
3215;Male;Old
3226;Female;Old
3230;Male;Adolescent
3233;Female;Middle Age
3246;Female;Old
3248;Male;Middle Age
3251;Male;Middle Age
3252;Female;Old
3253;Male;Middle Age
3256;Male;Old
3257;Male;Middle Age
3264;Male;Old
3265;Male;Old
3266;Male;Middle Age
3271;Male;Adolescent
3278;Female;Middle Age
3283;Female;Middle Age
3288;Male;Old
3291;Female;Old
3292;Male;Middle Age
3296;Female;Old
3303;Female;Adolescent
3307;Female;Old
3308;Female;Adolescent
3319;Male;Middle Age
3333;Male;Old
3338;Male;Adolescent
3341;Female;Adolescent
3342;Male;Middle Age
3343;Male;Adolescent
3344;Male;Old
3348;Male;Old
3349;Male;Old
3350;Female;Old
3352;Male;Middle Age
3370;Male;Middle Age
3371;Male;Old
3383;Male;Middle Age
3384;Female;Old
