usage_id;date_of_registration;pincode;calls_made;sms_sent;data_usage;churn
11;01/01/2020;776250;7;7;1275;Yes
12;01/01/2020;642121;39;51;7644;No
19;01/01/2020;630028;60;28;1432;No
26;01/01/2020;651699;28;48;6434;Yes
29;01/01/2020;106829;20;39;8314;No
32;01/01/2020;832883;25;29;1479;Yes
43;01/01/2020;504372;0;24;3310;No
44;01/01/2020;983359;75;16;2998;No
46;01/01/2020;606590;96;31;3183;No
64;01/01/2020;234208;30;48;484;Yes
69;01/01/2020;413226;1;13;8728;No
75;01/01/2020;982413;78;29;1369;No
86;01/01/2020;209707;80;36;3496;No
88;01/01/2020;100889;78;4;149;Yes
100;01/01/2020;879464;42;5;3497;Yes
108;01/01/2020;736732;13;26;683;No
111;01/01/2020;208672;38;4;3529;No
126;01/01/2020;954531;25;52;3001;No
129;01/01/2020;365201;68;23;2644;No
135;01/01/2020;382481;22;9;6211;No
139;01/01/2020;773622;81;33;6244;No
142;01/01/2020;240470;60;27;5329;No
143;01/01/2020;931935;25;19;7841;Yes
145;01/01/2020;353042;43;27;7217;No
154;01/01/2020;486947;85;19;482;No
158;01/01/2020;654557;18;46;8353;No
160;01/01/2020;455642;55;5;312;No
161;01/01/2020;633285;30;50;4057;No
162;01/01/2020;544679;89;11;168;No
169;01/01/2020;977395;85;4;5625;No
178;01/01/2020;483053;57;0;3824;No
179;01/01/2020;958668;78;41;4519;No
180;01/01/2020;326691;0;45;3747;No
182;01/01/2020;672973;68;19;4361;No
193;01/01/2020;448340;22;6;5990;No
194;01/01/2020;999230;65;11;6249;Yes
197;01/01/2020;567625;49;35;6638;Yes
203;02/01/2020;296406;83;44;5391;No
210;02/01/2020;496898;85;29;5370;No
212;02/01/2020;275866;33;7;9960;No
216;02/01/2020;392462;11;43;3439;No
219;02/01/2020;279933;61;2;1335;No
227;02/01/2020;363618;8;43;1102;No
229;02/01/2020;358169;78;9;737;No
238;02/01/2020;579056;103;20;10155;No
240;02/01/2020;760751;38;29;8081;Yes
247;02/01/2020;666591;52;39;3784;No
249;02/01/2020;458614;18;35;8840;No
250;02/01/2020;241435;4;22;8154;No
253;02/01/2020;742583;5;1;1811;No
